Geschlecht,Alter,Kinder,Familienstand,Berufstaetig,Einkaufstag,Einkaufsuhrzeit,Wohnort,Haushaltsnettoeinkommen,Einkaufssumme,Fertiggerichte,Tiefkuehlware,Milchprodukte,Backwaren,Obst/Gemuese,Spirituosen,Tiernahrung,Bier,Frischfleisch,Drogerieartikel,Konserven,Kaffee/Tee,Suessigkeiten,Wurstwaren,Schreibwaren
w,41-50,nein,ledig,nein,Montag,>17 Uhr,< 10 km,2000-<3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,18-30,ja,ledig,nein,Donnerstag,12-14 Uhr,10 - 25 km,1000-<2000,65,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0
m,18-30,nein,ledig,nein,Donnerstag,>17 Uhr,< 10 km,1000-<2000,81,20,0,0,0,0,6,0,5,10,36,0,0,0,0,4
m,>60,ja,ledig,nein,Donnerstag,10-12 Uhr,10 - 25 km,1000-<2000,91,3,0,27,16,0,0,0,0,0,0,0,7,0,0,38
w,>60,nein,ledig,nein,Samstag,10-12 Uhr,< 10 km,2000-<3200,66,0,0,0,19,0,13,19,0,0,0,0,15,0,0,0
w,51-60,nein,ledig,ja,Samstag,10-12 Uhr,< 10 km,>4500,104,0,0,0,12,0,3,29,0,0,12,0,12,36,0,0
w,31-40,ja,ledig,ja,Montag,12-14 Uhr,10 - 25 km,1000-<2000,223,0,0,7,10,66,0,0,0,0,0,0,20,0,36,84
m,18-30,ja,ledig,nein,Freitag,12-14 Uhr,< 10 km,2000-<3200,190,14,0,0,0,0,3,0,10,8,0,0,108,36,0,11
m,18-30,nein,ledig,ja,Samstag,12-14 Uhr,< 10 km,2000-<3200,379,18,0,0,0,0,12,0,200,62,0,0,56,0,0,31
m,18-30,ja,ledig,nein,Donnerstag,12-14 Uhr,< 10 km,2000-<3200,29,4,0,0,0,0,9,0,5,8,0,0,0,0,0,3
w,>60,nein,ledig,nein,Donnerstag,10-12 Uhr,< 10 km,<1000,364,0,0,0,17,0,122,20,0,0,12,10,15,0,88,80
m,31-40,ja,Partnerschaft,ja,Donnerstag,14-17 Uhr,10 - 25 km,<1000,54,36,0,0,9,0,7,0,0,0,0,0,0,0,0,2
w,41-50,nein,ledig,ja,Mittwoch,12-14 Uhr,< 10 km,1000-<2000,135,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0
m,18-30,nein,Partnerschaft,nein,Mittwoch,12-14 Uhr,< 10 km,<1000,111,3,0,0,28,0,6,0,5,4,0,0,0,0,63,2
w,41-50,ja,ledig,nein,Donnerstag,<10 Uhr,> 25 km,<1000,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
m,41-50,nein,ledig,nein,Donnerstag,12-14 Uhr,10 - 25 km,<1000,28,9,0,0,0,0,0,0,0,0,12,0,0,0,0,7
w,>60,ja,Partnerschaft,nein,Donnerstag,<10 Uhr,< 10 km,2000-<3200,273,0,30,4,26,0,73,0,0,0,0,0,140,0,0,0
w,51-60,nein,ledig,ja,Mittwoch,12-14 Uhr,< 10 km,1000-<2000,60,0,0,0,39,0,13,1,0,0,0,0,7,0,0,0
m,18-30,nein,ledig,ja,Montag,12-14 Uhr,10 - 25 km,1000-<2000,38,0,0,0,0,0,4,0,11,7,0,10,0,0,0,6
m,18-30,nein,Partnerschaft,nein,Donnerstag,<10 Uhr,< 10 km,3200-<4500,326,4,0,0,0,0,20,0,4,158,0,0,0,108,0,32
w,18-30,nein,Partnerschaft,ja,Montag,14-17 Uhr,10 - 25 km,<1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0qweqwe
w,18-30,nein,ledig,nein,Samstag,<10 Uhr,10 - 25 km,1000-<2000,166,30,0,0,0,0,0,0,136,0,0,0,0,0,0,0
m,18-30,nein,Partnerschaft,ja,Freitag,12-14 Uhr,< 10 km,1000-<2000,69,6,0,0,21,0,9,0,12,14,0,0,0,0,0,7
m,18-30,nein,ledig,ja,Donnerstag,12-14 Uhr,< 10 km,2000-<3200,124,8,16,0,0,48,11,0,16,2,0,15,0,0,0,8
w,>60,nein,ledig,nein,Donnerstag,<10 Uhr,10 - 25 km,<1000,151,0,0,0,9,0,80,25,0,0,3,20,14,0,0,0
m,18-30,ja,ledig,nein,Montag,12-14 Uhr,< 10 km,<1000,135,4,0,0,28,0,70,0,2,0,0,0,0,16,9,6
w,18-30,ja,Partnerschaft,nein,Dienstag,12-14 Uhr,> 25 km,<1000,68,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0
m,18-30,nein,Partnerschaft,nein,Freitag,10-12 Uhr,10 - 25 km,1000-<2000,43,1,0,0,0,0,16,0,12,8,0,0,0,0,0,6
m,18-30,ja,ledig,ja,Donnerstag,14-17 Uhr,10 - 25 km,3200-<4500,192,5,0,0,0,0,6,0,7,163,0,0,0,0,0,11
m,18-30,ja,ledig,ja,Donnerstag,12-14 Uhr,< 10 km,<1000,175,3,0,0,0,0,32,0,0,18,0,0,0,0,84,38
w,41-50,nein,ledig,nein,Samstag,12-14 Uhr,< 10 km,<1000,245,4,0,0,0,0,0,40,153,0,0,0,0,0,0,48
m,18-30,ja,ledig,nein,Mittwoch,12-14 Uhr,10 - 25 km,<1000,67,12,0,0,0,0,13,0,19,12,0,8,0,0,0,3
m,18-30,nein,Partnerschaft,nein,Dienstag,14-17 Uhr,10 - 25 km,2000-<3200,145,9,18,0,0,0,2,72,15,15,0,0,0,0,0,14
w,41-50,nein,Partnerschaft,ja,Samstag,12-14 Uhr,< 10 km,1000-<2000,244,0,0,0,0,0,0,56,0,99,36,5,0,0,0,48
w,41-50,nein,Partnerschaft,ja,Donnerstag,12-14 Uhr,< 10 km,1000-<2000,49,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
m,>60,nein,ledig,nein,Montag,10-12 Uhr,< 10 km,1000-<2000,56,4,0,0,4,0,27,0,0,0,0,0,17,0,0,4
w,31-40,nein,ledig,ja,Montag,12-14 Uhr,< 10 km,1000-<2000,196,0,0,28,0,0,0,0,168,0,0,0,0,0,0,0
w,>60,nein,ledig,nein,Freitag,10-12 Uhr,> 25 km,1000-<2000,122,0,0,0,16,49,13,23,0,0,0,0,21,0,0,0
w,>60,ja,ledig,nein,Donnerstag,<10 Uhr,10 - 25 km,3200-<4500,332,0,8,0,10,18,1,28,0,184,0,0,25,8,0,50
w,18-30,nein,ledig,nein,Freitag,12-14 Uhr,< 10 km,3200-<4500,180,0,27,4,21,0,0,126,0,0,0,0,0,2,0,0
m,41-50,ja,ledig,ja,Donnerstag,12-14 Uhr,< 10 km,<1000,132,10,0,0,0,0,0,0,0,95,0,0,0,0,24,3
w,18-30,ja,Partnerschaft,nein,Montag,10-12 Uhr,< 10 km,<1000,242,0,0,0,40,0,0,0,64,75,0,0,0,63,0,0
m,18-30,nein,ledig,ja,Mittwoch,<10 Uhr,< 10 km,1000-<2000,42,2,0,1,0,0,16,0,0,15,0,0,0,0,0,8
w,>60,ja,ledig,nein,Montag,<10 Uhr,> 25 km,2000-<3200,121,0,0,0,34,54,2,13,0,0,0,0,18,0,0,0
m,18-30,nein,ledig,nein,Dienstag,12-14 Uhr,10 - 25 km,3200-<4500,39,4,27,0,0,0,2,0,0,0,0,0,0,0,0,6
m,18-30,nein,ledig,nein,Samstag,12-14 Uhr,10 - 25 km,3200-<4500,150,11,0,0,0,0,4,0,13,15,0,15,78,0,0,14
w,51-60,nein,ledig,nein,Samstag,<10 Uhr,< 10 km,2000-<3200,234,42,0,0,46,0,5,17,120,0,0,0,4,0,0,0
m,>60,ja,ledig,ja,Donnerstag,<10 Uhr,< 10 km,3200-<4500,62,12,0,0,0,0,0,0,0,26,0,0,17,0,0,7
m,18-30,ja,ledig,ja,Donnerstag,14-17 Uhr,< 10 km,1000-<2000,133,14,0,0,0,0,8,0,3,12,0,0,0,0,23,73
w,>60,ja,ledig,nein,Samstag,<10 Uhr,< 10 km,2000-<3200,95,0,0,0,14,0,5,8,0,0,0,0,23,0,45,0
m,18-30,ja,ledig,ja,Samstag,>17 Uhr,10 - 25 km,1000-<2000,168,3,0,0,0,72,2,0,5,20,0,0,0,0,0,66
m,18-30,nein,ledig,nein,Montag,>17 Uhr,10 - 25 km,1000-<2000,289,16,0,0,0,24,144,22,2,3,0,0,72,0,0,6
w,>60,nein,ledig,nein,Mittwoch,14-17 Uhr,< 10 km,3200-<4500,143,0,0,0,25,0,4,21,0,0,0,6,15,0,0,72
w,>60,nein,ledig,nein,Montag,<10 Uhr,10 - 25 km,<1000,217,0,0,3,21,0,15,52,108,0,0,0,18,0,0,0
w,18-30,ja,Partnerschaft,nein,Samstag,<10 Uhr,< 10 km,<1000,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
m,18-30,ja,ledig,nein,Samstag,>17 Uhr,10 - 25 km,3200-<4500,120,10,0,6,12,0,9,0,5,18,0,0,0,0,11,49
w,>60,nein,Partnerschaft,nein,Donnerstag,<10 Uhr,10 - 25 km,2000-<3200,278,0,0,0,38,0,1,10,0,51,0,4,132,42,0,0
m,>60,nein,Partnerschaft,nein,Donnerstag,>17 Uhr,< 10 km,2000-<3200,149,33,0,0,16,0,57,0,0,0,0,12,19,0,0,12
w,41-50,nein,Partnerschaft,nein,Donnerstag,12-14 Uhr,10 - 25 km,1000-<2000,120,0,33,0,16,0,0,0,0,0,0,36,35,0,0,0
w,>60,ja,ledig,nein,Donnerstag,<10 Uhr,< 10 km,3200-<4500,198,0,0,16,12,0,83,67,0,0,0,0,20,0,0,0
m,>60,nein,ledig,ja,Donnerstag,10-12 Uhr,> 25 km,1000-<2000,85,3,0,0,17,0,0,40,0,0,6,0,19,0,0,0
m,18-30,nein,Partnerschaft,ja,Donnerstag,>17 Uhr,10 - 25 km,2000-<3200,47,7,0,0,0,0,9,0,12,7,0,0,0,0,0,12
m,18-30,nein,Partnerschaft,nein,Montag,12-14 Uhr,< 10 km,<1000,245,9,0,0,0,0,29,0,18,3,0,0,0,0,180,6
m,18-30,ja,Partnerschaft,nein,Mittwoch,10-12 Uhr,< 10 km,1000-<2000,162,12,0,0,0,0,15,0,0,5,0,0,0,0,126,4
w,41-50,nein,ledig,nein,Donnerstag,12-14 Uhr,10 - 25 km,3200-<4500,56,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0
w,41-50,nein,Partnerschaft,nein,Donnerstag,>17 Uhr,< 10 km,<1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,>60,nein,ledig,ja,Montag,<10 Uhr,< 10 km,3200-<4500,170,0,0,0,46,0,8,85,0,0,0,0,31,0,0,0
m,>60,nein,ledig,nein,Dienstag,10-12 Uhr,10 - 25 km,2000-<3200,130,3,0,24,7,0,0,14,0,0,0,0,14,27,36,5
m,41-50,ja,Partnerschaft,nein,Donnerstag,>17 Uhr,< 10 km,2000-<3200,321,4,0,0,0,0,0,39,0,192,0,0,0,0,72,14
w,51-60,ja,ledig,ja,Freitag,14-17 Uhr,10 - 25 km,3200-<4500,39,0,0,0,2,0,10,27,0,0,0,0,0,0,0,0
w,41-50,ja,ledig,ja,Montag,12-14 Uhr,10 - 25 km,<1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m,18-30,ja,Partnerschaft,nein,Mittwoch,12-14 Uhr,< 10 km,<1000,243,1,30,0,0,0,20,0,2,21,0,0,0,162,0,7
w,18-30,ja,ledig,ja,Donnerstag,12-14 Uhr,10 - 25 km,1000-<2000,88,0,54,0,6,20,0,0,0,0,8,0,0,0,0,0
m,>60,nein,ledig,nein,Freitag,10-12 Uhr,> 25 km,<1000,225,12,0,0,17,0,0,0,0,0,0,0,99,0,0,97
m,18-30,nein,ledig,nein,Donnerstag,12-14 Uhr,< 10 km,<1000,133,14,0,0,0,36,50,0,11,16,0,0,0,0,0,6
m,18-30,ja,ledig,ja,Mittwoch,>17 Uhr,10 - 25 km,1000-<2000,271,2,0,9,0,0,15,68,63,45,30,12,0,16,0,11
w,51-60,nein,Partnerschaft,nein,Donnerstag,12-14 Uhr,< 10 km,2000-<3200,52,0,0,0,17,0,10,20,0,0,0,0,5,0,0,0
m,51-60,nein,Partnerschaft,nein,Mittwoch,10-12 Uhr,< 10 km,2000-<3200,62,5,0,0,0,0,0,0,0,0,42,0,6,0,0,9
w,18-30,nein,Partnerschaft,ja,Samstag,12-14 Uhr,> 25 km,3200-<4500,116,0,0,0,0,6,0,0,0,0,6,42,0,6,56,0
m,18-30,nein,ledig,nein,Donnerstag,12-14 Uhr,< 10 km,<1000,280,13,48,0,9,0,32,0,57,10,0,0,0,0,108,3
w,18-30,ja,ledig,ja,Montag,12-14 Uhr,10 - 25 km,1000-<2000,18,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
w,>60,nein,ledig,nein,Samstag,<10 Uhr,< 10 km,2000-<3200,185,12,0,0,16,0,0,49,0,0,0,0,108,0,0,0
m,18-30,nein,ledig,nein,Montag,12-14 Uhr,10 - 25 km,>4500,278,13,0,0,0,0,19,0,12,15,48,0,119,0,0,52
m,31-40,nein,ledig,nein,Montag,12-14 Uhr,< 10 km,<1000,144,10,0,0,0,0,0,0,0,0,0,0,0,0,128,6
w,18-30,ja,ledig,ja,Montag,<10 Uhr,10 - 25 km,1000-<2000,39,0,0,0,6,0,33,0,0,0,0,0,0,0,0,0
w,41-50,ja,ledig,ja,Donnerstag,<10 Uhr,> 25 km,>4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,18-30,nein,ledig,nein,Dienstag,10-12 Uhr,< 10 km,<1000,33,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
m,41-50,ja,ledig,ja,Donnerstag,<10 Uhr,10 - 25 km,<1000,70,28,0,14,0,0,0,0,21,0,0,0,0,0,0,7
w,31-40,nein,ledig,nein,Samstag,14-17 Uhr,< 10 km,2000-<3200,156,0,54,32,12,0,0,0,0,32,0,0,0,26,0,0
w,>60,nein,ledig,nein,Dienstag,<10 Uhr,< 10 km,<1000,47,0,0,0,24,0,2,11,0,0,0,0,10,0,0,0
w,>60,nein,ledig,nein,Freitag,<10 Uhr,< 10 km,<1000,96,0,0,0,17,0,3,5,0,0,6,0,65,0,0,0
w,41-50,ja,ledig,ja,Freitag,10-12 Uhr,> 25 km,2000-<3200,70,0,0,0,0,0,0,0,14,0,0,0,0,56,0,0
w,18-30,ja,Partnerschaft,ja,Samstag,<10 Uhr,< 10 km,3200-<4500,168,0,36,0,24,0,0,0,0,108,0,0,0,0,0,0
m,31-40,nein,ledig,ja,Donnerstag,12-14 Uhr,< 10 km,>4500,103,11,0,15,0,0,0,0,0,76,0,0,0,0,0,1
w,31-40,nein,ledig,nein,Samstag,12-14 Uhr,< 10 km,1000-<2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m,18-30,nein,ledig,nein,Donnerstag,12-14 Uhr,< 10 km,2000-<3200,83,3,0,0,0,0,4,0,4,18,12,8,0,0,28,6
m,18-30,nein,ledig,nein,Montag,10-12 Uhr,10 - 25 km,3200-<4500,150,13,0,0,0,72,19,12,15,15,0,0,0,0,0,4
w,18-30,nein,ledig,nein,Donnerstag,12-14 Uhr,10 - 25 km,1000-<2000,35,0,0,15,0,0,0,20,0,0,0,0,0,0,0,0
m,>60,ja,ledig,nein,Donnerstag,10-12 Uhr,10 - 25 km,2000-<3200,121,7,0,0,10,0,0,0,0,0,0,0,96,0,0,8
m,18-30,nein,ledig,nein,Samstag,14-17 Uhr,< 10 km,<1000,158,17,56,20,0,0,19,10,7,21,0,0,0,0,0,8
m,>60,nein,ledig,nein,Montag,<10 Uhr,10 - 25 km,<1000,232,14,12,0,9,0,88,42,0,42,0,0,11,0,0,14
w,18-30,nein,ledig,ja,Samstag,14-17 Uhr,10 - 25 km,1000-<2000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0
w,18-30,ja,ledig,nein,Donnerstag,12-14 Uhr,> 25 km,1000-<2000,24,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
w,51-60,nein,ledig,nein,Montag,10-12 Uhr,< 10 km,1000-<2000,75,0,0,0,5,0,7,2,0,0,0,0,19,42,0,0
w,18-30,ja,ledig,nein,Donnerstag,12-14 Uhr,< 10 km,1000-<2000,72,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0
m,18-30,nein,ledig,nein,Freitag,<10 Uhr,10 - 25 km,2000-<3200,114,7,0,0,0,0,90,0,1,14,0,0,0,0,0,2
w,41-50,nein,ledig,nein,Mittwoch,12-14 Uhr,< 10 km,3200-<4500,244,0,0,0,0,0,0,18,42,0,0,0,184,0,0,0
m,41-50,nein,ledig,nein,Donnerstag,14-17 Uhr,10 - 25 km,>4500,118,12,72,0,0,28,0,0,0,0,0,0,0,0,0,6
m,18-30,ja,ledig,nein,Mittwoch,12-14 Uhr,< 10 km,>4500,218,0,8,0,0,0,16,0,12,169,0,0,0,0,0,13
m,18-30,nein,ledig,ja,Mittwoch,>17 Uhr,10 - 25 km,1000-<2000,47,11,0,0,0,0,6,0,15,6,0,0,0,0,0,9
w,41-50,nein,ledig,ja,Montag,<10 Uhr,10 - 25 km,<1000,72,0,0,0,0,0,0,0,0,0,0,12,60,0,0,0
w,>60,nein,Partnerschaft,nein,Donnerstag,<10 Uhr,> 25 km,>4500,122,0,14,0,16,0,11,20,0,0,0,10,25,0,26,0
w,18-30,ja,ledig,nein,Freitag,<10 Uhr,> 25 km,<1000,171,0,0,0,0,0,0,0,72,96,0,3,0,0,0,0
w,18-30,nein,ledig,ja,Montag,14-17 Uhr,< 10 km,3200-<4500,139,0,0,0,0,35,0,0,0,18,0,5,0,49,0,32
w,>60,nein,ledig,nein,Samstag,<10 Uhr,10 - 25 km,1000-<2000,127,0,0,3,83,0,7,22,0,0,0,0,12,0,0,0
w,>60,nein,ledig,nein,Montag,<10 Uhr,< 10 km,2000-<3200,425,6,35,0,31,0,166,3,0,77,0,0,11,0,0,96
m,18-30,nein,ledig,nein,Donnerstag,10-12 Uhr,< 10 km,>4500,104,8,0,0,48,0,18,0,1,7,0,9,0,0,0,13
w,41-50,nein,Partnerschaft,ja,Montag,12-14 Uhr,10 - 25 km,1000-<2000,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
w,>60,nein,ledig,ja,Freitag,10-12 Uhr,10 - 25 km,<1000,210,0,0,6,34,12,3,17,0,8,0,16,6,12,96,0
w,>60,ja,Partnerschaft,nein,Freitag,<10 Uhr,> 25 km,3200-<4500,467,0,0,0,15,0,4,15,98,198,0,0,35,72,0,30
w,18-30,nein,ledig,nein,Samstag,12-14 Uhr,< 10 km,1000-<2000,327,6,0,0,5,0,0,0,0,156,0,0,0,0,48,112
w,51-60,nein,Partnerschaft,nein,Donnerstag,12-14 Uhr,< 10 km,<1000,101,1,0,0,40,0,3,22,0,0,0,0,31,4,0,0
w,41-50,nein,ledig,nein,Samstag,12-14 Uhr,< 10 km,<1000,41,8,3,0,0,0,0,0,0,0,0,0,30,0,0,0
m,18-30,ja,Partnerschaft,nein,Donnerstag,10-12 Uhr,> 25 km,1000-<2000,122,13,0,0,0,0,15,0,12,14,0,0,55,0,0,13
w,18-30,nein,ledig,ja,Samstag,>17 Uhr,10 - 25 km,1000-<2000,72,0,0,0,0,0,0,60,12,0,0,0,0,0,0,0
w,>60,nein,Partnerschaft,nein,Donnerstag,14-17 Uhr,< 10 km,1000-<2000,191,0,0,0,16,20,11,10,110,0,0,0,24,0,0,0
w,>60,nein,ledig,nein,Montag,10-12 Uhr,< 10 km,1000-<2000,74,0,0,0,21,0,41,2,0,0,0,0,10,0,0,0
w,18-30,nein,ledig,ja,Samstag,10-12 Uhr,< 10 km,<1000,204,20,0,0,0,44,11,0,0,76,0,0,0,28,0,25
m,31-40,nein,ledig,ja,Donnerstag,>17 Uhr,< 10 km,1000-<2000,519,3,14,0,0,8,0,40,280,0,0,0,0,126,0,48
m,18-30,nein,ledig,ja,Donnerstag,12-14 Uhr,< 10 km,1000-<2000,136,31,0,0,0,0,14,0,12,69,0,0,0,0,0,10
w,>60,nein,ledig,nein,Donnerstag,<10 Uhr,10 - 25 km,1000-<2000,120,0,0,0,18,0,13,17,0,0,0,0,32,40,0,0
w,>60,ja,ledig,nein,Dienstag,<10 Uhr,10 - 25 km,>4500,53,4,0,0,22,0,10,3,0,0,0,0,14,0,0,0
w,18-30,nein,ledig,nein,Samstag,>17 Uhr,< 10 km,3200-<4500,45,0,0,0,0,0,0,0,0,0,10,0,0,35,0,0
w,31-40,ja,ledig,nein,Montag,12-14 Uhr,< 10 km,1000-<2000,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
w,31-40,nein,Partnerschaft,nein,Mittwoch,12-14 Uhr,< 10 km,<1000,30,0,0,0,4,5,0,8,0,0,0,0,0,0,0,13
w,18-30,nein,ledig,nein,Samstag,12-14 Uhr,< 10 km,>4500,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m,18-30,ja,ledig,nein,Dienstag,12-14 Uhr,> 25 km,1000-<2000,464,0,0,0,40,0,32,0,68,127,16,0,0,96,84,1
w,41-50,nein,ledig,nein,Donnerstag,12-14 Uhr,10 - 25 km,<1000,45,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
w,18-30,nein,ledig,nein,Mittwoch,>17 Uhr,10 - 25 km,2000-<3200,270,0,0,27,45,0,198,0,0,0,0,0,0,0,0,0
w,41-50,ja,ledig,nein,Samstag,12-14 Uhr,> 25 km,1000-<2000,248,36,0,0,0,0,0,0,128,0,0,0,0,0,0,84
m,18-30,nein,ledig,ja,Donnerstag,12-14 Uhr,10 - 25 km,<1000,205,13,0,0,16,0,11,0,132,19,0,0,0,0,0,14
w,31-40,ja,ledig,ja,Donnerstag,10-12 Uhr,> 25 km,2000-<3200,257,54,0,0,0,0,0,20,0,99,0,12,0,72,0,0
w,41-50,nein,ledig,nein,Freitag,12-14 Uhr,> 25 km,2000-<3200,115,0,0,30,0,0,0,56,0,0,4,10,0,0,15,0
w,51-60,nein,ledig,nein,Samstag,12-14 Uhr,> 25 km,1000-<2000,133,0,0,0,1,0,2,20,0,0,0,0,1,1,0,108
w,41-50,nein,ledig,ja,Montag,12-14 Uhr,< 10 km,1000-<2000,63,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0
m,>60,ja,Partnerschaft,nein,Mittwoch,<10 Uhr,10 - 25 km,<1000,81,3,0,0,11,0,0,0,0,0,0,21,38,0,0,8
w,18-30,nein,ledig,ja,Donnerstag,10-12 Uhr,< 10 km,2000-<3200,196,0,36,0,4,36,0,0,0,54,0,0,0,0,0,66
m,>60,nein,ledig,nein,Montag,<10 Uhr,< 10 km,<1000,120,2,0,0,8,48,0,0,0,0,0,0,0,0,52,10
m,41-50,ja,ledig,ja,Donnerstag,12-14 Uhr,< 10 km,1000-<2000,77,1,0,0,0,0,0,0,0,0,0,0,63,0,0,13
w,18-30,nein,ledig,nein,Freitag,>17 Uhr,< 10 km,<1000,158,0,0,0,0,0,0,0,136,22,0,0,0,0,0,0
w,>60,ja,ledig,nein,Samstag,<10 Uhr,< 10 km,1000-<2000,72,0,0,0,14,0,8,25,0,0,0,0,25,0,0,0
w,>60,ja,Partnerschaft,nein,Samstag,<10 Uhr,< 10 km,1000-<2000,64,0,0,0,23,0,2,10,0,0,6,0,23,0,0,0
w,>60,nein,ledig,nein,Dienstag,14-17 Uhr,< 10 km,3200-<4500,296,20,0,0,32,54,7,58,0,0,0,0,35,90,0,0
m,18-30,nein,ledig,ja,Montag,>17 Uhr,10 - 25 km,<1000,198,6,0,0,0,0,3,0,9,152,0,0,0,0,0,28
m,18-30,nein,Partnerschaft,ja,Donnerstag,>17 Uhr,10 - 25 km,3200-<4500,75,20,0,0,0,0,3,0,11,20,0,0,0,12,0,9
m,>60,nein,ledig,nein,Montag,<10 Uhr,10 - 25 km,3200-<4500,72,11,0,0,8,0,0,0,0,0,0,32,0,0,0,21
w,31-40,ja,ledig,nein,Donnerstag,>17 Uhr,< 10 km,1000-<2000,106,0,0,6,36,0,20,0,0,0,0,0,0,0,44,0
w,>60,ja,Partnerschaft,nein,Freitag,<10 Uhr,< 10 km,2000-<3200,95,0,0,0,19,9,7,24,0,0,0,0,36,0,0,0
m,>60,nein,ledig,nein,Donnerstag,10-12 Uhr,10 - 25 km,1000-<2000,83,9,0,0,18,0,0,0,0,0,36,14,6,0,0,0
w,51-60,ja,ledig,nein,Dienstag,12-14 Uhr,< 10 km,1000-<2000,60,28,0,0,6,0,8,11,0,0,0,0,7,0,0,0
w,>60,nein,ledig,nein,Donnerstag,10-12 Uhr,< 10 km,>4500,144,12,0,0,16,0,2,6,0,0,10,6,16,4,72,0
w,>60,nein,ledig,ja,Mittwoch,<10 Uhr,10 - 25 km,<1000,85,0,0,0,7,0,11,9,0,0,30,0,4,0,24,0
w,18-30,nein,ledig,nein,Mittwoch,<10 Uhr,< 10 km,3200-<4500,222,0,0,28,0,0,54,0,140,0,0,0,0,0,0,0
m,18-30,ja,Partnerschaft,ja,Mittwoch,14-17 Uhr,< 10 km,3200-<4500,302,26,0,0,0,0,66,0,14,8,0,6,171,0,0,11
m,18-30,ja,Partnerschaft,nein,Freitag,>17 Uhr,10 - 25 km,3200-<4500,65,4,0,0,0,16,9,0,4,10,0,16,0,0,0,6
w,41-50,ja,Partnerschaft,ja,Montag,14-17 Uhr,> 25 km,1000-<2000,91,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0
w,>60,nein,ledig,nein,Samstag,<10 Uhr,< 10 km,2000-<3200,187,0,0,0,25,0,10,22,0,0,0,0,11,35,0,84
w,41-50,nein,ledig,nein,Donnerstag,12-14 Uhr,< 10 km,1000-<2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
