@relation outputtt-weka.filters.unsupervised.attribute.NumericCleaner-min1.0-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1

@attribute Geschlecht {w,m}
@attribute Alter {>60,18-30,41-50,31-40,51-60}
@attribute Kinder {nein,ja}
@attribute Familienstand {ledig,Partnerschaft}
@attribute Berufstaetig {nein,ja}
@attribute Einkaufstag {Montag,Samstag,Donnerstag,Mittwoch,Freitag,Dienstag}
@attribute Einkaufsuhrzeit {'<10 Uhr','14-17 Uhr','10-12 Uhr','>17 Uhr','12-14 Uhr'}
@attribute Wohnort {'< 10 km','10 - 25 km','> 25 km'}
@attribute Haushaltsnettoeinkommen {<1000,1000-<2000,3200-<4500,2000-<3200,>4500}
@attribute Einkaufssumme numeric
@attribute Fertiggerichte numeric
@attribute Tiefkuehlware numeric
@attribute Milchprodukte numeric
@attribute Backwaren numeric
@attribute Obst/Gemuese numeric
@attribute Spirituosen numeric
@attribute Tiernahrung numeric
@attribute Bier numeric
@attribute Frischfleisch numeric
@attribute Drogerieartikel numeric
@attribute Konserven numeric
@attribute Kaffee/Tee numeric
@attribute Suessigkeiten numeric
@attribute Wurstwaren numeric
@attribute Schreibwaren numeric

@data
m,18-30,ja,ledig,ja,Samstag,'>17 Uhr','< 10 km',2000-<3200,39,4,?,?,?,?,4,?,10,7,?,?,?,?,?,14
w,>60,ja,Partnerschaft,nein,Mittwoch,'<10 Uhr','10 - 25 km',3200-<4500,80,?,?,?,3,?,3,1,?,54,?,?,19,?,?,?
w,41-50,ja,ledig,nein,Samstag,'<10 Uhr','< 10 km',2000-<3200,276,?,2,?,?,?,?,?,?,?,?,?,?,?,154,120
m,18-30,ja,ledig,ja,Samstag,'12-14 Uhr','< 10 km',1000-<2000,395,2,40,?,36,8,7,17,108,31,?,30,?,12,99,5
m,18-30,nein,ledig,nein,Freitag,'12-14 Uhr','< 10 km',1000-<2000,115,11,?,?,21,35,10,?,14,15,?,?,?,?,?,9
m,>60,nein,Partnerschaft,nein,Samstag,'10-12 Uhr','< 10 km',1000-<2000,136,3,?,?,19,?,?,?,30,32,?,?,17,?,?,35
m,18-30,nein,ledig,nein,Mittwoch,'<10 Uhr','10 - 25 km',>4500,361,7,10,?,?,?,12,?,?,158,?,?,?,90,?,84
m,>60,nein,ledig,nein,Samstag,'<10 Uhr','10 - 25 km',1000-<2000,236,3,3,?,19,?,8,?,62,?,54,?,8,?,36,43
m,>60,nein,ledig,nein,Samstag,'10-12 Uhr','10 - 25 km',3200-<4500,75,11,6,?,1,?,18,?,21,?,?,?,17,?,?,1
w,18-30,nein,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,60,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?
w,41-50,nein,ledig,nein,Samstag,'<10 Uhr','10 - 25 km',<1000,166,?,32,?,?,?,?,?,116,?,?,18,?,?,?,?
w,18-30,ja,ledig,nein,Montag,'14-17 Uhr','10 - 25 km',<1000,92,?,6,?,?,?,?,?,?,6,?,?,80,?,?,?
w,31-40,nein,ledig,ja,Samstag,'<10 Uhr','10 - 25 km',3200-<4500,267,?,72,?,12,?,?,?,117,66,?,?,?,?,?,?
w,51-60,ja,Partnerschaft,nein,Samstag,'<10 Uhr','10 - 25 km',1000-<2000,38,?,?,?,14,?,13,11,?,?,?,?,?,?,?,?
w,31-40,nein,ledig,nein,Samstag,'14-17 Uhr','< 10 km',1000-<2000,30,?,?,?,30,?,?,?,?,?,?,?,?,?,?,?
w,>60,nein,ledig,nein,Donnerstag,'<10 Uhr','< 10 km',<1000,83,?,?,?,25,?,4,20,?,?,?,24,10,?,?,?
m,18-30,ja,ledig,nein,Samstag,'12-14 Uhr','< 10 km',1000-<2000,225,12,?,?,18,?,21,120,37,10,?,?,?,?,?,7
w,>60,nein,ledig,nein,Samstag,'12-14 Uhr','10 - 25 km',1000-<2000,213,?,?,?,2,?,?,43,?,126,?,32,10,?,?,?
w,>60,ja,Partnerschaft,nein,Samstag,'10-12 Uhr','< 10 km',2000-<3200,70,?,?,?,8,?,1,15,?,?,32,?,14,?,?,?
m,18-30,nein,ledig,nein,Mittwoch,'10-12 Uhr','< 10 km',2000-<3200,91,14,?,?,?,?,?,60,2,9,?,?,?,?,?,6
w,31-40,ja,ledig,ja,Montag,'14-17 Uhr','< 10 km',<1000,6,?,?,?,?,?,?,?,?,?,?,?,?,6,?,?
w,>60,nein,Partnerschaft,nein,Samstag,'10-12 Uhr','< 10 km',2000-<3200,447,16,?,?,28,?,1,48,272,?,?,?,12,?,?,70
m,>60,nein,Partnerschaft,ja,Samstag,'12-14 Uhr','< 10 km',1000-<2000,122,5,9,?,19,?,?,?,?,14,30,?,15,30,?,?
m,>60,nein,ledig,nein,Samstag,'<10 Uhr','< 10 km',<1000,138,9,?,?,1,?,52,?,?,?,?,?,35,32,?,9
m,>60,nein,ledig,ja,Samstag,'14-17 Uhr','10 - 25 km',2000-<3200,265,11,?,?,8,?,?,?,224,?,?,4,9,?,?,9
w,18-30,nein,ledig,nein,Samstag,'<10 Uhr','10 - 25 km',>4500,589,?,40,?,?,?,36,?,360,153,?,?,?,?,?,?
m,>60,nein,ledig,nein,Samstag,'<10 Uhr','< 10 km',1000-<2000,187,34,18,?,13,?,?,?,?,?,?,?,11,?,?,111
m,51-60,nein,ledig,ja,Samstag,'<10 Uhr','10 - 25 km',1000-<2000,178,?,?,?,15,?,?,?,?,60,?,12,90,?,?,1
w,>60,ja,Partnerschaft,ja,Dienstag,'>17 Uhr','< 10 km',1000-<2000,121,28,?,?,37,?,3,27,?,?,?,8,18,?,?,?
w,>60,nein,ledig,nein,Samstag,'14-17 Uhr','10 - 25 km',2000-<3200,62,4,?,?,21,?,12,8,?,?,?,?,17,?,?,?
w,51-60,nein,ledig,ja,Donnerstag,'<10 Uhr','< 10 km',1000-<2000,380,?,?,?,41,?,92,42,198,?,?,?,7,?,?,?
w,31-40,nein,Partnerschaft,ja,Montag,'10-12 Uhr','10 - 25 km',2000-<3200,234,?,40,?,?,?,?,?,?,98,?,?,?,96,?,?
m,18-30,ja,ledig,nein,Samstag,'<10 Uhr','> 25 km',3200-<4500,261,11,2,?,54,?,17,?,134,20,?,?,?,9,?,14
m,18-30,nein,ledig,ja,Samstag,'10-12 Uhr','< 10 km',1000-<2000,123,12,?,?,18,?,9,?,2,21,?,20,?,39,?,2
w,18-30,ja,ledig,ja,Samstag,'<10 Uhr','< 10 km',3200-<4500,65,?,?,?,?,?,?,?,?,?,?,?,51,?,?,14
m,31-40,nein,ledig,nein,Samstag,'<10 Uhr','10 - 25 km',2000-<3200,314,14,?,?,9,?,136,?,84,?,?,?,?,60,?,11
w,18-30,ja,Partnerschaft,ja,Dienstag,'14-17 Uhr','< 10 km',1000-<2000,311,?,?,36,70,?,?,?,9,?,?,16,126,54,?,?
w,>60,nein,ledig,nein,Donnerstag,'10-12 Uhr','10 - 25 km',2000-<3200,419,?,3,?,24,?,2,92,?,39,?,36,36,?,168,19
m,31-40,ja,ledig,ja,Samstag,'14-17 Uhr','< 10 km',2000-<3200,112,13,?,?,4,?,?,5,?,88,?,?,?,?,?,2
w,18-30,nein,ledig,nein,Samstag,'>17 Uhr','< 10 km',<1000,121,?,?,?,?,?,?,49,?,?,?,?,?,?,72,?
m,51-60,nein,ledig,nein,Samstag,'14-17 Uhr','< 10 km',1000-<2000,107,16,?,?,?,?,?,40,?,?,?,?,?,45,?,6
m,18-30,nein,ledig,ja,Samstag,'<10 Uhr','> 25 km',1000-<2000,101,7,?,?,?,?,45,?,5,15,?,?,?,22,?,7
w,>60,nein,ledig,nein,Samstag,'<10 Uhr','< 10 km',1000-<2000,151,?,?,?,11,?,3,1,?,?,48,?,23,65,?,?
m,18-30,nein,ledig,nein,Samstag,'>17 Uhr','< 10 km',1000-<2000,70,13,?,?,?,?,20,?,26,7,?,?,?,?,?,4
w,31-40,nein,ledig,ja,Donnerstag,'>17 Uhr','10 - 25 km',3200-<4500,142,?,42,?,?,?,?,?,98,?,?,?,?,2,?,?
w,51-60,nein,ledig,ja,Freitag,'10-12 Uhr','> 25 km',>4500,145,?,?,?,9,48,8,74,?,?,?,?,6,?,?,?
m,18-30,nein,ledig,nein,Donnerstag,'10-12 Uhr','10 - 25 km',<1000,223,1,?,?,56,?,8,?,108,21,20,?,?,?,?,9
m,41-50,nein,ledig,nein,Samstag,'12-14 Uhr','< 10 km',>4500,297,4,20,12,?,?,36,117,46,?,?,?,?,48,?,14
w,18-30,ja,Partnerschaft,nein,Freitag,'>17 Uhr','< 10 km',2000-<3200,211,?,18,?,40,?,?,?,?,?,?,?,?,27,?,126
w,51-60,nein,ledig,nein,Freitag,'<10 Uhr','< 10 km',2000-<3200,94,?,7,?,18,?,48,17,?,?,?,?,4,?,?,?
w,31-40,nein,Partnerschaft,ja,Donnerstag,'>17 Uhr','10 - 25 km',3200-<4500,221,?,?,?,?,?,?,?,119,?,8,?,70,24,?,?
w,>60,nein,ledig,nein,Donnerstag,'<10 Uhr','< 10 km',<1000,197,?,?,4,19,?,3,41,?,?,?,?,130,?,?,?
w,>60,nein,Partnerschaft,nein,Samstag,'<10 Uhr','10 - 25 km',<1000,300,?,?,?,46,?,9,29,54,?,10,?,109,35,?,8
m,>60,nein,ledig,nein,Samstag,'10-12 Uhr','10 - 25 km',3200-<4500,119,8,?,?,30,?,24,?,?,?,?,?,11,?,?,46
m,18-30,nein,ledig,nein,Samstag,'10-12 Uhr','> 25 km',2000-<3200,222,4,?,?,?,?,122,?,71,13,?,?,?,?,?,12
m,31-40,nein,ledig,nein,Samstag,'10-12 Uhr','< 10 km',1000-<2000,210,3,?,?,?,?,64,?,?,112,18,?,?,?,?,13
w,18-30,ja,ledig,nein,Donnerstag,'>17 Uhr','< 10 km',1000-<2000,274,4,63,?,?,?,?,?,138,?,?,?,55,?,?,14
m,18-30,nein,ledig,nein,Samstag,'>17 Uhr','> 25 km',>4500,165,11,?,?,?,63,21,?,9,19,?,?,?,38,?,4
w,41-50,nein,ledig,nein,Samstag,'12-14 Uhr','10 - 25 km',1000-<2000,305,?,32,?,?,?,?,?,225,?,?,?,?,48,?,?
m,18-30,nein,ledig,ja,Samstag,'>17 Uhr','< 10 km',<1000,400,2,?,?,?,?,?,?,320,9,?,9,?,?,38,22
w,51-60,nein,ledig,ja,Dienstag,'14-17 Uhr','< 10 km',1000-<2000,278,?,63,?,12,?,13,119,?,?,?,48,19,4,?,?
w,>60,nein,Partnerschaft,nein,Samstag,'10-12 Uhr','10 - 25 km',3200-<4500,101,?,?,?,9,?,9,11,?,52,?,?,20,?,?,?
m,18-30,nein,Partnerschaft,ja,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,182,3,?,?,5,28,4,?,17,11,?,?,75,30,?,9
m,18-30,ja,ledig,ja,Samstag,'>17 Uhr','10 - 25 km',2000-<3200,320,?,?,24,15,?,14,60,70,8,3,?,?,30,91,5
w,31-40,nein,ledig,nein,Donnerstag,'14-17 Uhr','< 10 km',3200-<4500,72,?,?,?,24,?,24,?,?,?,?,24,?,?,?,?
w,18-30,ja,Partnerschaft,nein,Samstag,'10-12 Uhr','10 - 25 km',>4500,66,?,?,?,?,36,?,?,?,?,30,?,?,?,?,?
m,18-30,nein,ledig,nein,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,158,14,?,4,?,?,19,72,18,4,?,3,?,2,14,8
m,18-30,nein,Partnerschaft,ja,Samstag,'14-17 Uhr','10 - 25 km',2000-<3200,129,?,?,?,35,?,4,?,67,11,?,?,?,?,?,12
w,41-50,ja,Partnerschaft,nein,Donnerstag,'<10 Uhr','10 - 25 km',1000-<2000,484,?,7,?,28,?,?,36,315,?,10,?,?,24,?,64
m,18-30,ja,ledig,ja,Dienstag,'<10 Uhr','< 10 km',>4500,362,14,?,?,?,?,96,72,171,1,?,?,?,?,?,8
m,18-30,nein,ledig,ja,Montag,'12-14 Uhr','< 10 km',<1000,451,1,21,?,32,?,8,126,114,34,?,?,?,?,64,51
w,31-40,nein,ledig,nein,Samstag,'10-12 Uhr','> 25 km',3200-<4500,181,18,12,?,?,?,?,3,?,?,?,4,?,144,?,?
w,18-30,nein,ledig,nein,Montag,'<10 Uhr','> 25 km',1000-<2000,126,?,?,3,?,?,?,?,84,39,?,?,?,?,?,?
w,18-30,nein,ledig,ja,Donnerstag,'<10 Uhr','10 - 25 km',1000-<2000,72,?,?,?,14,?,?,12,?,?,?,?,28,18,?,?
w,>60,nein,ledig,ja,Samstag,'<10 Uhr','< 10 km',1000-<2000,184,?,?,24,26,63,1,21,?,?,32,?,17,?,?,?
m,51-60,ja,ledig,nein,Freitag,'>17 Uhr','> 25 km',1000-<2000,171,8,?,?,?,?,56,?,?,10,24,?,?,?,65,8
m,18-30,nein,ledig,ja,Samstag,'10-12 Uhr','< 10 km',1000-<2000,424,10,32,?,14,?,29,?,136,9,36,?,?,?,80,78
w,>60,ja,Partnerschaft,nein,Freitag,'>17 Uhr','10 - 25 km',1000-<2000,153,?,?,?,20,48,12,11,24,?,?,?,26,12,?,?
w,41-50,nein,ledig,ja,Donnerstag,'>17 Uhr','< 10 km',1000-<2000,117,18,?,?,35,?,?,?,?,?,?,?,?,64,?,?
m,18-30,nein,Partnerschaft,nein,Dienstag,'12-14 Uhr','< 10 km',<1000,334,12,?,?,48,?,112,72,14,64,?,?,?,?,?,12
w,>60,ja,Partnerschaft,ja,Samstag,'<10 Uhr','< 10 km',1000-<2000,260,?,?,?,18,?,5,140,?,36,?,?,21,28,12,?
w,51-60,ja,ledig,nein,Montag,'<10 Uhr','< 10 km',<1000,114,?,?,?,5,?,11,31,?,?,?,20,2,?,45,?
w,31-40,ja,ledig,nein,Freitag,'<10 Uhr','< 10 km',2000-<3200,168,?,?,?,?,?,?,25,?,24,?,?,?,?,119,?
w,18-30,nein,ledig,nein,Samstag,'10-12 Uhr','< 10 km',3200-<4500,63,?,?,?,?,?,?,30,?,?,?,?,?,33,?,?
m,41-50,ja,ledig,ja,Samstag,'<10 Uhr','10 - 25 km',<1000,169,30,?,14,?,?,?,?,21,?,?,?,?,40,?,64
w,51-60,nein,ledig,nein,Samstag,'>17 Uhr','10 - 25 km',2000-<3200,326,?,?,?,4,?,12,25,210,?,?,?,30,?,?,45
w,18-30,nein,ledig,nein,Montag,'10-12 Uhr','< 10 km',2000-<3200,438,?,?,2,?,60,?,28,200,114,32,2,?,?,?,?
w,>60,ja,ledig,nein,Donnerstag,'<10 Uhr','< 10 km',3200-<4500,88,?,?,?,8,?,5,25,?,46,?,?,4,?,?,?
w,31-40,nein,ledig,nein,Donnerstag,'<10 Uhr','< 10 km',2000-<3200,179,8,?,9,36,?,?,?,14,70,?,?,42,?,?,?
w,18-30,ja,Partnerschaft,ja,Samstag,'<10 Uhr','< 10 km',3200-<4500,168,?,36,?,24,?,?,?,?,108,?,?,?,?,?,?
m,18-30,nein,ledig,ja,Montag,'12-14 Uhr','< 10 km',>4500,178,7,?,15,?,?,13,?,16,4,?,9,?,112,?,2
w,18-30,ja,ledig,nein,Donnerstag,'14-17 Uhr','< 10 km',1000-<2000,98,?,?,?,?,?,?,30,68,?,?,?,?,?,?,?
w,18-30,nein,ledig,nein,Montag,'<10 Uhr','< 10 km',3200-<4500,287,?,?,25,?,?,?,126,?,?,?,?,126,10,?,?
m,41-50,nein,ledig,nein,Samstag,'>17 Uhr','< 10 km',3200-<4500,269,5,?,?,?,?,?,?,?,85,18,?,136,20,?,5
w,18-30,nein,ledig,ja,Samstag,'<10 Uhr','< 10 km',3200-<4500,54,?,?,?,?,?,?,50,?,?,?,4,?,?,?,?
w,18-30,ja,ledig,nein,Samstag,'>17 Uhr','< 10 km',<1000,230,18,25,?,?,?,?,14,29,?,?,?,?,?,144,?
w,>60,ja,ledig,nein,Samstag,'10-12 Uhr','< 10 km',2000-<3200,131,?,?,?,25,35,9,7,20,?,?,?,3,21,?,11
w,>60,nein,Partnerschaft,ja,Samstag,'10-12 Uhr','< 10 km',3200-<4500,85,?,?,?,2,?,3,?,?,?,12,?,23,?,?,45
m,18-30,nein,ledig,ja,Dienstag,'10-12 Uhr','< 10 km',1000-<2000,174,9,?,?,49,48,?,14,4,3,?,?,?,?,?,47
w,41-50,nein,ledig,nein,Donnerstag,'>17 Uhr','< 10 km',3200-<4500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
w,>60,nein,ledig,nein,Samstag,'<10 Uhr','< 10 km',2000-<3200,57,?,?,?,9,?,13,17,?,?,15,?,3,?,?,?
w,51-60,nein,Partnerschaft,ja,Montag,'>17 Uhr','> 25 km',1000-<2000,158,?,?,?,19,?,56,24,?,?,?,?,19,?,40,?
m,18-30,nein,ledig,nein,Samstag,'<10 Uhr','10 - 25 km',<1000,159,1,12,?,?,?,10,?,22,9,?,?,91,?,?,14
w,18-30,nein,ledig,nein,Dienstag,'>17 Uhr','< 10 km',3200-<4500,58,6,?,?,?,?,?,44,?,?,8,?,?,?,?,?
w,18-30,nein,ledig,nein,Samstag,'14-17 Uhr','10 - 25 km',1000-<2000,176,?,?,?,?,?,?,?,176,?,?,?,?,?,?,?
w,>60,nein,Partnerschaft,nein,Mittwoch,'<10 Uhr','< 10 km',1000-<2000,34,10,?,?,15,?,?,3,?,?,?,?,6,?,?,?
m,18-30,ja,ledig,ja,Samstag,'>17 Uhr','< 10 km',1000-<2000,110,5,?,?,?,?,13,?,6,81,?,?,?,?,?,5
w,>60,nein,Partnerschaft,nein,Samstag,'>17 Uhr','< 10 km',1000-<2000,122,?,?,?,17,?,9,10,?,?,?,?,26,?,?,60
m,18-30,ja,Partnerschaft,nein,Samstag,'>17 Uhr','< 10 km',>4500,95,13,?,?,?,?,21,?,15,2,?,?,?,35,?,9
w,18-30,ja,Partnerschaft,ja,Donnerstag,'<10 Uhr','< 10 km',1000-<2000,157,?,?,?,5,?,?,45,?,?,?,24,44,30,?,9
m,18-30,nein,Partnerschaft,nein,Montag,'12-14 Uhr','< 10 km',1000-<2000,455,6,?,6,?,?,19,?,250,16,?,?,98,?,56,4
m,41-50,nein,ledig,ja,Dienstag,'>17 Uhr','> 25 km',1000-<2000,135,14,1,?,?,?,?,88,30,?,?,?,?,?,?,2
w,51-60,ja,Partnerschaft,nein,Mittwoch,'10-12 Uhr','< 10 km',<1000,126,?,?,?,2,?,13,24,36,?,?,24,3,?,24,?
w,18-30,nein,Partnerschaft,ja,Donnerstag,'>17 Uhr','< 10 km',2000-<3200,46,28,?,?,4,?,?,?,?,?,?,?,?,14,?,?
w,31-40,nein,Partnerschaft,ja,Samstag,'<10 Uhr','< 10 km',2000-<3200,101,?,?,?,?,35,?,?,52,?,8,?,?,?,6,?
m,>60,nein,ledig,ja,Donnerstag,'<10 Uhr','< 10 km',3200-<4500,63,14,?,?,5,?,16,?,?,?,?,?,16,?,?,12
w,51-60,ja,ledig,ja,Donnerstag,'14-17 Uhr','> 25 km',3200-<4500,175,?,?,5,7,16,3,61,72,?,?,?,3,8,?,?
m,18-30,nein,Partnerschaft,ja,Montag,'<10 Uhr','< 10 km',1000-<2000,101,6,40,?,5,?,?,?,1,11,?,?,35,?,?,3
m,>60,nein,Partnerschaft,nein,Samstag,'<10 Uhr','< 10 km',1000-<2000,95,3,?,?,28,?,11,6,?,?,?,?,13,?,16,18
w,18-30,ja,ledig,nein,Donnerstag,'>17 Uhr','< 10 km',2000-<3200,52,?,?,?,20,?,?,?,32,?,?,?,?,?,?,?
w,41-50,nein,Partnerschaft,nein,Donnerstag,'>17 Uhr','10 - 25 km',2000-<3200,68,?,?,?,36,12,?,?,?,?,20,?,?,?,?,?
m,>60,ja,ledig,nein,Samstag,'<10 Uhr','> 25 km',3200-<4500,169,9,?,14,?,?,?,60,12,?,?,?,18,48,?,8
w,41-50,ja,Partnerschaft,ja,Donnerstag,'10-12 Uhr','< 10 km',1000-<2000,199,?,?,?,9,?,?,?,?,?,?,?,54,?,?,136
w,51-60,nein,Partnerschaft,nein,Samstag,'<10 Uhr','< 10 km',2000-<3200,57,6,?,?,4,?,9,10,?,?,12,?,16,?,?,?
m,18-30,ja,ledig,nein,Samstag,'>17 Uhr','> 25 km',<1000,601,11,42,?,?,?,144,?,79,190,?,27,?,?,104,4
m,18-30,nein,Partnerschaft,nein,Samstag,'10-12 Uhr','10 - 25 km',1000-<2000,437,9,42,?,32,?,7,?,14,93,64,?,?,?,?,176
w,41-50,ja,ledig,ja,Samstag,'12-14 Uhr','< 10 km',1000-<2000,48,?,32,16,?,?,?,?,?,?,?,?,?,?,?,?
w,41-50,ja,ledig,nein,Samstag,'>17 Uhr','< 10 km',3200-<4500,88,?,?,?,?,?,88,?,?,?,?,?,?,?,?,?
w,18-30,ja,ledig,ja,Montag,'>17 Uhr','10 - 25 km',1000-<2000,48,?,48,?,?,?,?,?,?,?,?,?,?,?,?,?
m,18-30,ja,Partnerschaft,ja,Donnerstag,'10-12 Uhr','10 - 25 km',1000-<2000,71,10,?,?,15,?,16,?,11,11,?,?,?,?,?,8
m,>60,nein,ledig,nein,Samstag,'10-12 Uhr','< 10 km',>4500,82,5,?,?,9,?,?,48,?,?,?,?,13,?,?,7
w,41-50,ja,ledig,ja,Mittwoch,'14-17 Uhr','< 10 km',3200-<4500,326,?,?,?,25,?,88,?,20,13,?,?,?,78,102,?
w,31-40,ja,ledig,nein,Samstag,'>17 Uhr','> 25 km',1000-<2000,48,?,35,?,?,?,?,?,?,?,?,?,?,6,7,?
w,18-30,nein,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,62,?,?,?,?,?,?,?,?,30,30,2,?,?,?,?
w,18-30,ja,Partnerschaft,ja,Freitag,'>17 Uhr','< 10 km',<1000,46,36,?,?,?,?,?,?,?,?,10,?,?,?,?,?
w,18-30,ja,ledig,nein,Dienstag,'>17 Uhr','< 10 km',<1000,141,28,18,?,?,?,?,55,?,?,40,?,?,?,?,?
w,18-30,nein,Partnerschaft,ja,Montag,'<10 Uhr','10 - 25 km',>4500,150,?,?,?,21,?,?,?,90,?,?,?,39,?,?,?
m,31-40,ja,Partnerschaft,nein,Samstag,'<10 Uhr','< 10 km',2000-<3200,22,11,?,?,?,?,?,?,?,?,?,?,?,?,?,11
w,51-60,nein,ledig,ja,Freitag,'10-12 Uhr','> 25 km',<1000,217,?,?,25,84,?,5,3,?,?,?,?,37,?,63,?
w,18-30,nein,ledig,nein,Freitag,'>17 Uhr','10 - 25 km',1000-<2000,202,?,?,?,?,?,?,55,?,96,?,?,11,40,?,?
m,18-30,nein,ledig,nein,Samstag,'>17 Uhr','< 10 km',1000-<2000,52,6,?,?,?,?,10,18,?,16,?,?,?,?,?,2
m,18-30,ja,ledig,nein,Samstag,'>17 Uhr','< 10 km',1000-<2000,240,11,6,?,42,?,13,?,12,?,?,?,?,24,?,132
w,18-30,nein,ledig,nein,Samstag,'>17 Uhr','> 25 km',>4500,220,5,?,?,54,?,?,?,161,?,?,?,?,?,?,?
w,41-50,ja,ledig,ja,Mittwoch,'12-14 Uhr','< 10 km',1000-<2000,54,?,?,?,40,?,5,?,?,?,?,9,?,?,?,?
w,41-50,ja,Partnerschaft,nein,Mittwoch,'<10 Uhr','< 10 km',1000-<2000,90,?,?,8,40,6,?,?,?,36,?,?,?,?,?,?
m,41-50,nein,Partnerschaft,nein,Samstag,'14-17 Uhr','10 - 25 km',<1000,44,8,?,?,20,8,?,?,?,?,?,?,?,?,?,8
w,>60,nein,Partnerschaft,nein,Freitag,'<10 Uhr','< 10 km',1000-<2000,60,?,?,?,12,?,7,10,?,?,?,18,13,?,?,?
w,18-30,nein,ledig,nein,Freitag,'>17 Uhr','< 10 km',<1000,135,?,30,6,?,?,24,?,?,?,?,?,?,?,75,?
m,18-30,nein,ledig,nein,Montag,'>17 Uhr','> 25 km',1000-<2000,139,14,?,?,?,15,10,?,6,86,?,?,?,?,?,8
m,18-30,nein,Partnerschaft,ja,Samstag,'>17 Uhr','> 25 km',1000-<2000,313,14,64,?,?,18,15,4,189,4,?,?,?,?,?,5
m,>60,ja,ledig,nein,Samstag,'<10 Uhr','< 10 km',<1000,226,10,?,?,5,?,?,?,?,?,?,?,18,81,105,7
